hotspottime,provinsi,kabupaten,kecamatan,location,satellite,confidence
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Sipispis,0101000020E6100000772E8CF4A2C0584069C70DBF9B0E0A40,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Tebing Syahbandar,0101000020E6100000A7052FFA0AC95840067F64DFBA470A40,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Buton Utara,Kulisusu,0101000020E61000005E10919A76CC5E40BED9E6C6F41413C0,landsat8,low
2021-04-19 01:58:52,Sulawesi Tenggara,Buton,Kab. Buton,0101000020E61000005985CD0017B05E40B6D95889793615C0,landsat8,low
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000005A2E1B9DF3995E40CD936B0A64F60EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000009225732CEF995E40CD936B0A64F60EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000004AF1F109D9995E40D6C56D3480F70EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000006AA67B9DD4995E40D6C56D3480F70EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000006AA67B9DD4995E40DBDE6E490EF80EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000007270E998F3995E40D769A4A5F2F60EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000008A5B0531D0995E40CCEF3499F1F60EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000008A5B0531D0995E40D6C56D3480F70EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000009225732CEF995E40D769A4A5F2F60EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000A19DD32CD0995E40DBDE6E490EF80EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000B2DAFCBFEA995E40DC82A5BA80F70EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000B2DAFCBFEA995E40E19BA6CF0EF80EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000C1525DC0CB995E40D10836AE7FF70EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000D28F8653E6995E40DC82A5BA80F70EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000E9D1544FE6995E40E19BA6CF0EF80EC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000004243FF04179A5E40EC1516DC0FF80EC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000DE7536E49F9A5E402F14B01D8C380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000DE7536E49F9A5E403AEAE8B81A390FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000006F52D73BA9A5E403B8E1F2A8D380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000006F52D73BA9A5E403FA7203F1B390FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000016325706D59A5E4036751E15FF370FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000016325706D59A5E40404B57B08D380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000026AAB706B69A5E4030B8E68EFE370FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000026AAB706B69A5E4035D1E7A38C380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000036E7E099D09A5E4036751E15FF370FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000465F419AB19A5E4035D1E7A38C380FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000004E29AF95D09A5E403B8E1F2A8D380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000006614CB2DAD9A5E4035D1E7A38C380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000006614CB2DAD9A5E403AEAE8B81A390FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000086C954C1A89A5E4035D1E7A38C380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000009E0B23BDA89A5E403AEAE8B81A390FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000BEC0AC50A49A5E4035D1E7A38C380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000BEC0AC50A49A5E403AEAE8B81A390FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000CEFDD5E3BE9A5E4030B8E68EFE370FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000CEFDD5E3BE9A5E403B8E1F2A8D380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000E63FA4DFBE9A5E403FA7203F1B390FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000EEB25F77BA9A5E4030B8E68EFE370FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000F67CCD72D99A5E40404B57B08D380FC0,landsat8,low
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000001EFCC401F49A5E4041EF8D2100380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E61000001EFCC401F49A5E4046088F368E380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E610000086E5CFB7059B5E4041EF8D2100380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000B612BA4BE29A5E403C32569BFF370FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000B612BA4BE29A5E40404B57B08D380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000D6C743DFDD9A5E40315C1D0071370FC0,landsat8,medium
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000D6C743DFDD9A5E403C32569BFF370FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000D6C743DFDD9A5E40404B57B08D380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000E6046D72F89A5E4041EF8D2100380FC0,landsat8,high
2021-04-19 01:58:52,Sulawesi Tenggara,Konawe,Bondoala,0101000020E6100000FE463B6EF89A5E4046088F368E380FC0,landsat8,high
2021-04-19 03:35:05,Sumatera Barat,Kepulauan Mentawai,Siberut Barat,0101000020E610000074D3669C86B9584000C5C8923996EDBF,landsat8,high
2021-04-19 03:35:05,Riau,Rokan Hulu,Tembusan,0101000020E61000006DFE5F75E4095940923B6C223357F33F,landsat8,high
2021-04-19 03:35:05,Riau,Rokan Hulu,Tembusan,0101000020E610000076711B0DE0095940923B6C223357F33F,landsat8,low
2021-04-19 03:35:05,Sumatera Utara,Labuhanbatu,Bilah Hulu,0101000020E6100000AF43352559F6584054E1CFF066AD0040,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Labuhanbatu,Bilah Hulu,0101000020E6100000AF43352559F6584059FAD005F5AD0040,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Labuhan Batu Selatan,Kampung Rakyat,0101000020E610000058E6ADBA0E0559403222516859D70040,landsat8,low
2021-04-19 03:35:05,Sumatera Utara,Labuhan Batu Selatan,Kampung Rakyat,0101000020E6100000789B374E0A0559403222516859D70040,landsat8,low
2021-04-19 03:35:05,Sumatera Utara,Labuhanbatu Utara,Kwaluh Hulu,0101000020E61000004374081C09EA58406BD44334BA830440,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Labuhanbatu Utara,Kwaluh Hulu,0101000020E61000004374081C09EA584070ED444948840440,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Labuhanbatu Utara,Kwaluh Hilir,0101000020E610000043CA4FAA7DFD58408FFE976BD1020640,landsat8,low
2021-04-19 03:35:05,Sumatera Utara,Labuhanbatu Utara,Kwaluh Hilir,0101000020E6100000637FD93D79FD5840941799805F030640,landsat8,low
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Sipispis,0101000020E6100000772E8CF4A2C0584069C70DBF9B0E0A40,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Tebing Syahbandar,0101000020E61000009432A9A10DC958400936AE7FD7470A40,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Tebing Syahbandar,0101000020E61000009432A9A10DC95840FE5F75E448470A40,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Tebing Syahbandar,0101000020E6100000B4E7323509C958400936AE7FD7470A40,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Tebing Syahbandar,0101000020E6100000B4E7323509C958400E4FAF9465480A40,landsat8,high
2021-04-19 03:35:05,Sumatera Utara,Serdang Bedagai,Tebing Syahbandar,0101000020E6100000B4E7323509C95840FE5F75E448470A40,landsat8,high
2021-04-20 16:48:29,Nusa Tenggara Timur,Sumba Timur,Pahungalodu,0101000020E61000002F22FE1F6F295E40BE1ADADF5D5524C0,noaa20,medium
2021-04-20 16:48:29,Papua Barat,Telukbintuni,Bintuni,0101000020E61000007B7B002061BB60405FED07C0683C00C0,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Obi,0101000020E6100000811302A007DC5F4099BCE057D550F7BF,noaa20,medium
2021-04-20 16:48:29,Sulawesi Tengah,Morowali,Bahodopi,0101000020E61000006642FE5F768A5E40DB4414300DA906C0,noaa20,medium
2021-04-20 16:48:29,Sulawesi Tengah,Morowali,Bahodopi,0101000020E610000032AF0200B08A5E40500ACA9F35C806C0,noaa20,medium
2021-04-20 16:48:29,Kalimantan Selatan,Tanahbumbu,Angsana,0101000020E6100000C6E0FEAF3CE85C40E4A5D56FAAF60CC0,noaa20,medium
2021-04-20 16:48:29,Kalimantan Selatan,Tapin,Lokpaikat,0101000020E610000040F6FE2FECCE5C4081EA6160048A07C0,noaa20,medium
2021-04-20 16:48:29,Sulawesi Barat,Mamuju Utara,Bambalamotu,0101000020E6100000153902C04ADE5D408BAFB0BF7067F1BF,noaa20,medium
2021-04-20 16:48:29,Sulawesi Barat,Mamuju Utara,Sarudu,0101000020E61000009F220350D7D35D404D03B300753CFBBF,noaa20,medium
2021-04-20 16:48:29,Jawa Timur,Mojokerto,Trowulan,0101000020E610000002A5FCFFD3185C40D3EC0D004D4B1EC0,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Tengah,Weda Tengah,0101000020E610000025DA02008FFF5F40F510AEFC09D9DE3F,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Pulau Makian,0101000020E610000021A801207AD95F40873296E126C0D43F,noaa20,medium
2021-04-20 16:48:29,Nusa Tenggara Timur,Sumba Timur,Pahungalodu,0101000020E61000002F22FE1F6F295E40BE1ADADF5D5524C0,noaa20,medium
2021-04-20 16:48:29,Papua Barat,Telukbintuni,Bintuni,0101000020E61000007B7B002061BB60405FED07C0683C00C0,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Obi,0101000020E6100000196B03A01FDC5F40FDA2C2E0B358F7BF,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Obi,0101000020E610000039AD042028DC5F4055549A202C4BF7BF,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Obi,0101000020E610000036200040E7DB5F400750429F7E56F7BF,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Obi,0101000020E61000007A150080EFDB5F400BABE3BEF648F7BF,noaa20,medium
2021-04-20 16:48:29,Sulawesi Tengah,Morowali,Bahodopi,0101000020E6100000CADFFFBF988A5E409F17D5BF77A506C0,noaa20,medium
2021-04-20 16:48:29,Sulawesi Tengah,Morowali,Bahodopi,0101000020E610000002A5FCFF538A5E40187253A0A2AC06C0,noaa20,medium
2021-04-20 16:48:29,Sulawesi Tengah,Morowali,Bahodopi,0101000020E610000032AF0200B08A5E40500ACA9F35C806C0,noaa20,medium
2021-04-20 16:48:29,Kalimantan Selatan,Tanahbumbu,Angsana,0101000020E61000009564FC7F45E85C401C0F32A049F00CC0,noaa20,medium
2021-04-20 16:48:29,Kalimantan Selatan,Tanahbumbu,Angsana,0101000020E6100000F75C01E033E85C40AD3C793F0BFD0CC0,noaa20,medium
2021-04-20 16:48:29,Kalimantan Selatan,Tapin,Lokpaikat,0101000020E61000004DFEFEFF05CF5C40CFA55580318B07C0,noaa20,medium
2021-04-20 16:48:29,Kalimantan Selatan,Tapin,Lokpaikat,0101000020E610000032EEFE5FD2CE5C40332F6E40D78807C0,noaa20,medium
2021-04-20 16:48:29,Sulawesi Barat,Mamuju Utara,Bambalamotu,0101000020E6100000153902C04ADE5D408BAFB0BF7067F1BF,noaa20,medium
2021-04-20 16:48:29,Sulawesi Barat,Mamuju Utara,Sarudu,0101000020E6100000290C04E0E3D35D4053463381E83AFBBF,noaa20,medium
2021-04-20 16:48:29,Sulawesi Barat,Mamuju Utara,Sarudu,0101000020E6100000153902C0CAD35D4047C03280013EFBBF,noaa20,medium
2021-04-20 16:48:29,Jawa Timur,Mojokerto,Trowulan,0101000020E610000002A5FCFFD3185C40D3EC0D004D4B1EC0,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Tengah,Weda Tengah,0101000020E610000025DA02008FFF5F40F510AEFC09D9DE3F,noaa20,medium
2021-04-20 16:48:29,Maluku Utara,Halmahera Selatan,Pulau Makian,0101000020E610000021A801207AD95F40873296E126C0D43F,noaa20,medium
2021-04-20 18:30:53,Riau,Indragiri Hulu,Rengat,0101000020E6100000EFB902C0A79E59405EBCDD9A8D38DFBF,noaa20,medium
2021-04-20 18:30:53,Riau,Kuantan Singingi,Kuatan Mudik,0101000020E61000009996FD5FDA5A59409112F561410AE1BF,noaa20,medium
2021-04-20 18:30:53,Riau,Kuantan Singingi,Kuatan Tengah,0101000020E6100000A36000C0F55C5940E4A0E7C371E8DEBF,noaa20,medium
2021-04-20 18:30:53,Jambi,Batanghari,Mersam,0101000020E6100000E34A0360B8B7594056943B01875FF9BF,noaa20,medium
2021-04-20 18:30:53,Jambi,Tanjung Jabung Barat,Tungkalulu,0101000020E6100000038D04E080C55940B48552416613F5BF,noaa20,medium
2021-04-20 18:30:53,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E61000004C59020072D859400AB7BE40F742F3BF,noaa20,medium
2021-04-20 18:30:53,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E6100000EFB902C0E7D75940CD8646C19D05F3BF,noaa20,medium
2021-04-20 18:30:53,Jambi,Tanjung Jabung Barat,Tungkalilir,0101000020E6100000FCCDFE1FEBD65940BDA4D6A0D4C3F2BF,noaa20,medium
2021-04-20 18:30:53,Sumatera Barat,Pesisir Selatan,Pancung Soal,0101000020E6100000C56E0280A1455940D93F911FD89E01C0,noaa20,medium
2021-04-20 18:30:53,Sumatera Selatan,Penukal Abab Lematang Ilir,Talang Ubi,0101000020E610000072D8010055005A40B648B97F55E30AC0,noaa20,medium
2021-04-20 18:30:53,Sumatera Selatan,Muara Enim,Rambang Dangku,0101000020E6100000A487040045025A40909B653F20520BC0,noaa20,medium
2021-04-20 18:30:53,Lampung,Way Kanan,Negara Batin,0101000020E61000007317FE5FF7325A4009104FC0C06911C0,noaa20,medium
2021-04-20 18:30:53,Lampung,Way Kanan,Negara Batin,0101000020E610000083DF02E00A345A40AF635400294511C0,noaa20,medium
2021-04-20 18:30:53,Lampung,Way Kanan,Pakuan Ratu,0101000020E610000028E5FF9F94365A40AB5D34E0031E11C0,noaa20,medium
2021-04-20 18:30:53,Banten,Serang,Kibin,0101000020E61000007FAD010036945A40D17224C07EC218C0,noaa20,medium
2021-04-20 18:30:53,Dki Jakarta,Jakarta Barat,Kembangan,0101000020E610000083DF02E04AB05A40FAE905C0F4A518C0,noaa20,medium
2021-04-20 18:30:53,Jawa Barat,Karawang,Rengasdengklok,0101000020E6100000730B02D0CDD45A406F2F277004DE18C0,noaa20,medium
2021-04-20 18:30:53,Jawa Barat,Bogor,Gunungputri,0101000020E6100000070AFEAFA1B95A40D0F5F9FFA3C419C0,noaa20,medium
2021-04-20 18:30:53,Jawa Barat,Cirebon,Suranenggala,0101000020E6100000038D04E0C0205B4002A5FCFF93821AC0,noaa20,medium
2021-04-20 18:30:53,Jawa Tengah,Batang,Banyuputih,0101000020E61000001B1000A0337D5B4067BF282071E81BC0,noaa20,medium
2021-04-20 18:30:53,Jawa Tengah,Sleman,Pakem,0101000020E6100000679C02708E9C5B409283F157F12B1EC0,noaa20,medium
2021-04-20 18:30:53,Aceh,Bireuen,Ganda Pura,0101000020E6100000B73302E08E395840B93FCD7FFEE51440,noaa20,medium
2021-04-20 18:30:53,Riau,Rokan Hilir,Bagan Sinembah,0101000020E610000074BCFA5F4B16594098AFC37F57EF0040,noaa20,medium
2021-04-20 18:30:53,Riau,Rokan Hilir,Bagan Sinembah,0101000020E6100000DD7F0110F9205940671956AF2AE4FF3F,noaa20,medium
2021-04-20 18:30:53,Riau,Kampar,Gunung Sahilan,0101000020E61000000A48FB1F204F5940736469D065A4BC3F,noaa20,medium
2021-04-20 17:36:52,Nusa Tenggara Timur,Sumba Timur,Pahungalodu,0101000020E6100000A36000C055295E401FEF1B80895724C0,snpp,medium
2021-04-20 17:36:52,Maluku Utara,Halmahera Selatan,Obi,0101000020E6100000FC0CFB7F0DDC5F407A6D99801D57F7BF,snpp,medium
2021-04-20 17:36:52,Kalimantan Selatan,Tanahbumbu,Angsana,0101000020E6100000ABC402805FE85C402CDB45A013FD0CC0,snpp,medium
2021-04-20 17:36:52,Kalimantan Selatan,Tanahbumbu,Angsana,0101000020E6100000A6ED04A036E55C4030F61C60FF200EC0,snpp,medium
2021-04-20 17:36:52,Kalimantan Selatan,Tanahbumbu,Satui,0101000020E61000001146FD3FD8D75C409578E51F225A0EC0,snpp,medium
2021-04-20 17:36:52,Kalimantan Selatan,Tanahbumbu,Kusanhulu,0101000020E610000021A80120FAE75C4031DE24402CE70BC0,snpp,medium
2021-04-20 17:36:52,Kalimantan Selatan,Tapin,Lokpaikat,0101000020E6100000A9F80140FCCE5C40A0411A80D38C07C0,snpp,medium
2021-04-20 17:36:52,Kalimantan Timur,Kutai Kartanegara,Sebilu,0101000020E610000054FC0020BE3D5D402634CD64CDE2D3BF,snpp,medium
2021-04-20 17:36:52,Kalimantan Tengah,Barito Utara,Montallat,0101000020E6100000F9C20180E5B05C4069B5979FE1AEF4BF,snpp,medium
2021-04-20 17:36:52,Kalimantan Tengah,Katingan,Sanaman Mantikei,0101000020E6100000E4C8FB1F7D465C40B0A63661901EF5BF,snpp,medium
2021-04-20 17:36:52,Sumatera Selatan,Ogan Komering Ilir,Pampangan,0101000020E61000001983FBBFF2515A40946357FF8C0706C0,snpp,medium
2021-04-20 17:36:52,Sumatera Selatan,Lahat,Merapi,0101000020E610000094FEFBDF53F059403E9E6DA086F00DC0,snpp,medium
2021-04-20 17:36:52,Banten,Serang,Cikande,0101000020E610000042CEFBFFB8965A4062B908004CBD18C0,snpp,medium
2021-04-20 17:36:52,Jawa Barat,Karawang,Rawamerta,0101000020E6100000CB4BFE27DFD45A403C5F1EF839DF18C0,snpp,medium
2021-04-20 17:36:52,Jawa Barat,Bogor,Gunungputri,0101000020E61000009081021093B95A40BC0BCEBFE1C419C0,snpp,medium
2021-04-20 17:36:52,Jawa Barat,Cirebon,Suranenggala,0101000020E610000068CF0240D7205B40C792C53F64841AC0,snpp,medium
2021-04-20 17:36:52,Jawa Tengah,Batang,Banyuputih,0101000020E61000001D760040657D5B4092054CE0D6E51BC0,snpp,medium
2021-04-20 17:36:52,Jawa Timur,Lumajang,Tempeh,0101000020E61000002658FBBF534C5C40DDDEE29F215720C0,snpp,medium
2021-04-20 17:36:52,Jawa Timur,Mojokerto,Trowulan,0101000020E6100000038D04E000195C4043F6CD3FF24D1EC0,snpp,medium
